"FID_","ID_seq_num","prov_sale","prov_kill","lat","long_","race_tail","race_tree","bcr"
,"172120400 2004"," ","BC",54.766666,-126.450000,"Branta hutchinsii","Branta canadensis","WRockies"
,"172120401 2004"," ","AB",52.416666,-110.116666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120403 2004"," ","AB",55.416666,-118.016666,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120405 2004"," ","AB",49.700000,-112.150000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120408 2004"," ","AB",52.483333,-112.433333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120410 2004"," ","AB",55.650000,-116.900000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120411 2004"," ","AB",55.383333,-119.550000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120413 2004"," ","SK",53.233333,-110.066666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120419 2004"," ","AB",49.700000,-112.150000,"unknown","Branta canadensis","ERockies"
,"172120420 2004"," ","AB",52.416666,-110.116666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120435 2004"," ","SK",0.000000,0.000000,"Branta hutchinsii","Branta hutchinsii","WRockies"
,"172120512 2004"," ","SK",0.000000,0.000000,"Branta hutchinsii","Branta hutchinsii","WRockies"
,"172120522 2004"," ","SK",53.416666,-105.400000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120524 2004"," ","SK",53.416666,-105.400000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120527 2004"," ","SK",51.916666,-105.850000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120530 2004"," ","SK",53.050000,-105.300000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120533 2004"," ","SK",53.566666,-104.483333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120546 2004"," ","SK",53.516666,-103.550000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120556 2004"," ","SK",49.566666,-101.616666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120558 2004"," ","SK",52.983333,-105.533333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120588 2004"," ","SK",49.116666,-103.000000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120597 2004"," ","SK",51.833333,-105.200000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120614 2004"," ","SK",53.516666,-103.550000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120616 2004"," ","SK",53.283333,-103.216666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120621 2004"," ","SK",51.633333,-109.483333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120623 2004"," ","SK",53.216666,-106.566666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120627 2004"," ","SK",50.700000,-107.633333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120632 2004"," ","SK",52.516666,-105.750000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120634 2004"," ","SK",52.516666,-105.750000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120640 2004"," ","SK",51.150000,-104.866666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120641 2004"," ","MB",50.866666,-98.966666,"Branta canadensis","Branta hutchinsii","ERockies"
,"172120642 2004"," ","MB",50.133333,-100.816666,"Branta hutchinsii","Branta hutchinsii","ERockies"
